customer_id,name,email,account_open_date,credit_limit,state,phone_number,current_balance,fico_score,dq_flag_missing_critical,dq_flag_invalid_email,dq_flag_fico_out_of_range,dq_flag_balance_outlier,dq_flag_future_date,state_cleaned,dq_flag_any_issue
CUST12530,Customer 2530,customer2530@email.com,2021-02-14,2500.0,NY,(841) 809-1788,1542.24,642.0,False,False,False,False,False,NY,False
CUST13604,Customer 3604,customer3604@email.com,2018-02-13,2500.0,FL,(614) 567-3979,-3332.03,663.0,False,False,False,False,False,FL,False
CUST11331,Customer 1331,customer1331@email.com,2023-04-05,15000.0,TX,(324) 666-4416,2652.15,744.0,False,False,False,False,False,TX,False
CUST10282,Customer 282,customer282@email.com,2023-09-05,2500.0,TX,(810) 419-9978,1762.33,772.0,False,False,False,False,False,TX,False
CUST11653,Customer 1653,,2020-08-19,7500.0,FL,(853) 366-7227,2425.08,692.0,True,False,False,False,False,FL,True
CUST11667,Customer 1667,customer1667@email.com,2018-12-01,2500.0,CA,(395) 957-8575,962.51,646.0,False,False,False,False,False,CA,False
CUST13893,Customer 3893,customer3893@email.com,2024-10-16,2500.0,ca ,(652) 271-5041,-1207.85,743.0,False,False,False,False,False,CA,False
CUST17842,Customer 7842,customer7842@email.com,2019-08-17,2500.0,CA,(588) 619-9259,1392.96,,True,False,False,False,False,CA,True
CUST11103,Customer 1103,customer1103@email.com,2019-03-07,15000.0,,(930) 326-8791,1259.31,744.0,False,False,False,False,False,UNKNOWN,False
CUST17544,Customer 7544,customer7544@email.com,2023-08-09,10000.0,FL,(782) 755-8711,1187.82,727.0,False,False,False,False,False,FL,False
CUST10807,Customer 807,customer807@email.com,2020-07-15,1000.0,TX,(690) 778-7983,3701.42,829.0,False,False,False,False,False,TX,False
CUST13619,Customer 3619,customer3619@email.com,2019-07-29,5000.0,NY,(814) 578-4874,1963.74,726.0,False,False,False,False,False,NY,False
CUST15204,Customer 5204,customer5204@email.com,2020-01-18,15000.0,FL,,669.23,801.0,True,False,False,False,False,FL,True
CUST14992,Customer 4992,customer4992@email.com,2021-05-30,7500.0,Texas,(531) 660-7501,142.26,772.0,False,False,False,False,False,UNKNOWN,False
CUST10541,Customer 541,customer541@email.com,2019-05-10,10000.0,IL,(740) 762-8756,1768.14,672.0,False,False,False,False,False,IL,False
CUST11965,Customer 1965,customer1965@email.com,2024-06-17,1000.0,  ny,(853) 274-2327,1960.56,,True,False,False,False,False,NY,True
CUST14833,Customer 4833,customer4833@email.com,2018-06-06,15000.0,CA,(226) 622-1008,,890.0,False,False,True,False,False,CA,True
CUST15845,Customer 5845,customer5845@email.com,2021-11-15,2500.0,CA,(928) 684-9849,3130.7,727.0,False,False,False,False,False,CA,False
CUST17836,Customer 7836,customer7836@email.com,2024-11-16,1000.0,TX,,3235.46,771.0,True,False,False,False,False,TX,True
CUST12518,Customer 2518,customer2518@email.com,2018-01-15,7500.0,,(519) 933-5806,1075.16,673.0,False,False,False,False,False,UNKNOWN,False
CUST16794,Customer 6794,customer6794@email.com,2019-02-15,7500.0,,(273) 401-7624,4355.52,636.0,False,False,False,False,False,UNKNOWN,False
CUST10088,Customer 88,customer88@email.com,2020-07-04,2500.0,FL,(339) 967-5005,307.23,614.0,False,False,False,False,False,FL,False
CUST10025,Customer 25,customer25@email.com,2022-11-25,10000.0,TX,(578) 272-8872,6003.92,524.0,False,False,False,False,False,TX,False
CUST16979,Customer 6979,customer6979@email.com,2023-10-15,1000.0,FL,(307) 517-4901,3477.43,743.0,False,False,False,False,False,FL,False
CUST13123,Customer 3123,customer3123@email.com,2022-03-30,10000.0,FL,(953) 806-9816,1763.93,647.0,False,False,False,False,False,FL,False
CUST16957,Customer 6957,customer6957@email.com,2019-06-21,2500.0,CA,,1753.65,774.0,True,False,False,False,False,CA,True
CUST14360,Customer 4360,customer4360@email.com,2018-10-27,25000.0,CA,(619) 686-5941,3612.45,776.0,False,False,False,False,False,CA,False
CUST14163,Customer 4163,,2023-05-05,10000.0,CA,,3019.99,723.0,True,False,False,False,False,CA,True
CUST15828,Customer 5828,customer5828@email.com,2021-06-09,2500.0,FL,(256) 743-6564,248.28,793.0,False,False,False,False,False,FL,False
CUST11728,Customer 1728,customer1728@email.com,2023-06-04,1000.0,TX,(628) 698-8414,101.23,648.0,False,False,False,False,False,TX,False
CUST10237,Customer 237,customer237@email.com,2022-07-08,2500.0,FL,(241) 241-2543,1177.06,743.0,False,False,False,False,False,FL,False
